toxic,nontoxic,bart,custom_transformer,bart_rouge1,bart_rouge2,bart_rougeL,bart_rougeLsum,bart_meteor,bart_bleu,bart_wer,custom_transformer_rouge1,custom_transformer_rouge2,custom_transformer_rougeL,custom_transformer_rougeLsum,custom_transformer_meteor,custom_transformer_bleu,custom_transformer_wer,toxic_toxicity,nontoxic_toxicity,bart_toxicity,custom_transformer_toxicity
"Failure to obey me will result in your death and the death of everyone you hold dear, et cetera, et cetera.","disobeying will result in your death and death of everyone you care about, and so on.",you know that failure to obey me will lead to your death and the death,"quick to paris , and only give me a lawyer in the voice and everyone will be able to hold , as human , as human , maggie",0.387,0.138,0.323,0.323,0.323,0.0,0.938,0.25,0.0,0.15,0.15,0.158,0.0,1.625,0.8571,0.0321,0.8422,0.0917
They know they can't fuck around with me like they could if I was an unknown.,they know they can't wave to me like I'm nobody.,they know they can't go around with me like they could if I was an unknown.,they know they ca n't do me like that if they could be a cigarette.,0.552,0.37,0.552,0.552,0.51,0.177,1.0,0.429,0.231,0.429,0.429,0.475,0.0,1.0,0.0047,0.0032,0.0044,0.0015
"If it wasn't raining, we could take him outside and blow him up.","if he didn't, we could have taken him out and fired.","if it wasn't raining, we could take him out and give him a room.","if it was n't on , we could take him out and get out.",0.519,0.24,0.519,0.519,0.579,0.0,0.818,0.538,0.25,0.538,0.538,0.528,0.0,0.818,0.0003,0.0036,0.0005,0.0003
"Listen, Emmett, this is all hush-hush- double-pinky-swear kinda shit, okay?","look, Emmett, this is an ultra-tutti-frutti secret, okay?","listen, Emmett, it's all about the double-pinky swear","listen , they 're wearing this bunch of hot star wears a little tail bother you?",0.1,0.0,0.1,0.1,0.126,0.0,0.875,0.08,0.0,0.08,0.08,0.12,0.0,1.875,0.9907,0.0024,0.8554,0.0141
"Wait, I'm not fucking finished.","wait, I'm not done.","wait, I'm not finished.","wait , i 'm not going to fly.",0.8,0.75,0.8,0.8,0.841,0.537,0.25,0.667,0.6,0.667,0.667,0.818,0.0,1.75,0.0003,0.0003,0.0004,0.0029
Come on. Is gonna have me fucking hand off.,"come on, he's gonna bite my hand off.","come on, I'll have my hand down.","come on , it 's going to be me off your hand.",0.471,0.267,0.471,0.471,0.477,0.0,0.5,0.5,0.111,0.4,0.4,0.473,0.0,1.375,0.0002,0.0002,0.0002,0.0939
I was kicking ass till this chick knocked me down.,I was busted until this cat knocked me out.,"I was almost cooking, until this chick hit me.",i was till this wants me to catch me.,0.556,0.25,0.556,0.556,0.506,0.0,0.667,0.444,0.125,0.444,0.444,0.372,0.0,0.778,0.1229,0.0001,0.9242,0.0012
Stops creating silly ideas about ourselves.,to stop creating those crazy ideas about ourselves.,stop making such a thing about ourselves.,google more than our ideas.,0.4,0.154,0.4,0.4,0.421,0.0,0.625,0.154,0.0,0.154,0.154,0.115,0.0,1.0,0.0002,0.0014,0.0002,0.0017
"""That's what I said! I said about our meetings and things and then you said shut up--""","I told you about the meetings and everything, and you were yelling at me to keep my mouth shut - ""","I was saying something about our meetings and things, and then you said quiet.",""" that 's what i said , i said about our order , and then you said :""",0.364,0.065,0.364,0.364,0.267,0.0,0.81,0.242,0.0,0.242,0.242,0.196,0.0,1.0,0.0006,0.0014,0.0001,0.0299
"But Mr. Brown, that's too close to Mr. Shit.","yeah, but Mr. Brown, it's like Mr. Hovno.",but Mr. Brown is too close to Mr. Naser.,"but mr. brown , and you 're too close to mr. j.",0.444,0.25,0.444,0.444,0.378,0.241,0.875,0.4,0.222,0.4,0.4,0.465,0.293,1.25,0.0003,0.0158,0.0009,0.1183
Only the government Could build something this ugly.,only a government can build something so bad.,only the government could build such a thing.,only the government could had tried something like that.,0.5,0.0,0.375,0.375,0.278,0.0,0.625,0.353,0.0,0.353,0.353,0.22,0.0,0.75,0.0001,0.0001,0.0001,0.0002
You're an accomplice to murder.,accessory to murder.,you're an accomplice of the murder.,you 're an accomplice to us.,0.2,0.0,0.2,0.2,0.426,0.0,1.667,0.222,0.0,0.222,0.222,0.233,0.0,1.667,0.0528,0.0024,0.4593,0.5652
"#Private detective, or dick.",private investigator or nosy.,"private Detective, or whatever.","# detective detective , buddy.",0.5,0.0,0.5,0.5,0.294,0.0,0.5,0.0,0.0,0.0,0.0,0.098,0.0,1.25,0.2107,0.0216,0.0005,0.0031
"Plus, I wasn't making shit in that fish market.",I didn't make any money in that fish shop.,"besides, I didn't even make a little in the fish market.",and i was n't in this country in the country.,0.545,0.2,0.545,0.545,0.507,0.0,0.667,0.286,0.0,0.286,0.286,0.182,0.0,1.0,0.0001,0.0001,0.0002,0.0022
Sucking up to her parents... in that outfit.,as he tried to impress her parents... in a suit like this.,as he tried to impress her parents... in a suit like this.,as he made her parents parents ... in this suit ... a suit like that.,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.72,0.435,0.64,0.64,0.626,0.291,0.75,0.0002,0.0465,0.0465,0.0788
Holy shit. How much have you missed me?,how much have I missed you?,how much have you missed me?,how much have you missed me?,0.833,0.4,0.667,0.667,0.73,0.0,0.333,0.833,0.4,0.667,0.667,0.73,0.0,0.333,0.0001,0.0001,0.0002,0.0002
"I was in a Lot of pain... ...and when I heard that second shot,I kept my goddamn head down.","no, I only felt pain... and when I heard the other shot, I held my ground.","I was in a lot of pain, and when I heard the second shot, I",i was a lot of god when i heard the second when i heard the second hair.,0.581,0.414,0.581,0.581,0.532,0.231,0.688,0.364,0.194,0.364,0.364,0.242,0.124,0.75,0.0003,0.0003,0.0001,0.0079
No shit.,no kidding.,"no, no.","no , no.",0.5,0.0,0.5,0.5,0.323,0.0,1.0,0.5,0.0,0.5,0.5,0.323,0.0,1.0,0.0001,0.0015,0.0007,0.001
"They're a little melty, but damn, are they exquisite!","they're a little jumpy, but they're delicious.","it's a little flea market, but these things are exquisite!","they 're just a little bread , but they 're proud of them.",0.3,0.111,0.3,0.3,0.335,0.0,1.0,0.667,0.421,0.667,0.667,0.761,0.0,1.429,0.0001,0.0003,0.0002,0.0022
You bitches underestimated me.,you guys have underestimated me.,you underestimated me.,you 're helping me.,0.75,0.333,0.75,0.75,0.647,0.0,0.4,0.444,0.0,0.444,0.444,0.433,0.0,0.6,0.0137,0.014,0.0242,0.0017
To kill me? Why don't you just do it?,why don't you just do it?,why don't you just do it?,why do n't you just do it?,1.0,1.0,1.0,1.0,0.999,1.0,0.0,0.8,0.615,0.8,0.8,0.999,0.541,0.333,0.0001,0.001,0.001,0.0011
"And when they're done... ...along comes the insurance company, and fucks you some more.","and then they come...... from the insurance company and they rip you off, too!",and when they're done...... the insurance company comes in and gives you a little more.,"and when they were done with the insurance company , and you 're more more more more than you.",0.467,0.143,0.467,0.467,0.402,0.291,0.786,0.438,0.2,0.438,0.438,0.398,0.0,0.929,0.0003,0.0224,0.0046,0.0947
"Ooh. - Oh, shit.","oh, my God.","oh, my God.","oh , my god.",1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,1.0,0.667,0.0002,0.0002,0.0002,0.0003
"You, fool, have you ever seen a bull?",oh you... have you ever seen a bull before?,have you ever seen a bull?,did you ever seen a american?,0.8,0.769,0.8,0.8,0.653,0.357,0.444,0.533,0.462,0.533,0.533,0.457,0.184,0.556,0.0001,0.0003,0.0001,0.0005
I probably came off a little gay last night.,I guess I was a little gay last night.,I think I came out last night.,i guess i came out of a little night.,0.5,0.143,0.5,0.5,0.601,0.0,0.556,0.667,0.375,0.667,0.667,0.672,0.0,0.556,0.0166,0.0007,0.0002,0.0005
I cry but not for you. For my money you could drop dead.,"I'm not crying about you, but for money.","for my money, you could be dead.","i 'm not for you , but my money could cover you.",0.375,0.0,0.25,0.25,0.231,0.0,1.0,0.7,0.333,0.6,0.6,0.685,0.0,1.25,0.0002,0.0002,0.5448,0.008
He was gonna die anyway.,he would have died anyway.,he was dead anyway.,he 's gon na be dead.,0.444,0.0,0.444,0.444,0.433,0.0,0.6,0.182,0.0,0.182,0.182,0.164,0.0,1.0,0.0002,0.0013,0.0002,0.7483
"I don't care, you bastards, I'll eat what I like.",I don't care. I'll eat what I want.,"I don't care, I'll eat what I want.","i do n't care , i 'll eat what i 'm like.",1.0,1.0,1.0,1.0,0.914,0.658,0.125,0.727,0.6,0.727,0.727,0.815,0.0,1.0,0.0001,0.0002,0.0002,0.0494
I don't give a fuck!,I don't care!,I don't care!,i do n't care.,1.0,1.0,1.0,1.0,0.996,1.0,0.0,0.667,0.286,0.667,0.667,0.794,0.0,1.0,0.0001,0.0002,0.0002,0.0023
"Jesus Christ, the shit you've been through. It's just fantastic.","God, all you had to go through, that's just beautiful.","Jesus Christ, what have you been through?","jesus christ , you 've got through it 's gone , it 's not fantastic.",0.222,0.0,0.222,0.222,0.111,0.0,1.0,0.25,0.0,0.25,0.25,0.246,0.0,1.4,0.0003,0.0001,0.0002,0.0105
What the hell do they expect me to say?,what do you want me to say?,what do they expect me to say?,what do they expect me to say?,0.714,0.5,0.714,0.714,0.736,0.411,0.286,0.714,0.5,0.714,0.714,0.736,0.411,0.286,0.0002,0.0008,0.0002,0.0002
"Nigger, please. I hid it.","come on, I hid them.","please, I've hidden it.","please , i 'm saying it was mine.",0.2,0.0,0.2,0.2,0.365,0.0,1.0,0.167,0.0,0.167,0.167,0.355,0.0,1.4,0.9997,0.0004,0.0004,0.0013
Looks like Detective Conklin shot himself the wrong nigger.,looks like Detective Conklin shot the wrong guy.,looks like Detective Conklin shot the wrong guy.,looks like detective looked on the matter with the matter.,1.0,1.0,1.0,1.0,0.999,1.0,0.0,0.444,0.25,0.444,0.444,0.485,0.0,0.75,0.9988,0.0003,0.0003,0.0002
"I don't care if you're Warren Buffett or if you're Jimmy Buffett. Nobody knows if a stock is gonna go up, down, sideways, or in fucking circles. Least of all stockbrokers, right?","no one, not even Warren Buffet or Jimmy Buffet, know if the stock will go up, down or they'll be running around in a circle.",I don't care if you're Warren Buffett or Jimmy Buffett.,i do n't care if you 're afraid if you 're selling mrs. wallace is gon na see if you could know if no one can count.,0.211,0.056,0.158,0.158,0.106,0.0,0.92,0.148,0.077,0.074,0.074,0.172,0.0,1.08,0.0001,0.0002,0.0001,0.0844
"You're going out with Gabe Foley, aren't you? Shut up.","you're going with Gabe Foley, aren't you?","you're going out with Gabe Foley, okay?","you 're gon na take huge bucks , are n't you?",0.706,0.533,0.706,0.706,0.688,0.369,0.429,0.4,0.222,0.4,0.4,0.623,0.0,1.429,0.0002,0.0016,0.0007,0.0156
All I can say is Mussolini's got two balls this big!,I can only say that Mussolini has real guts!,the only thing I can say is that Mussolini's got two halves.,all i can say is probably two things.,0.545,0.2,0.455,0.455,0.491,0.0,1.0,0.353,0.133,0.353,0.353,0.258,0.0,0.778,0.0002,0.0002,0.014,0.0003
That thing is inside of me. See you are bad man.,what's inside me sees you're a bad guy.,there's something inside me.,"that 's what you see of me , you 're bad man.",0.4,0.154,0.4,0.4,0.301,0.0,1.0,0.571,0.105,0.476,0.476,0.475,0.0,1.25,0.0001,0.1279,0.0004,0.4752
"What the hell do you mean, quiet?","what do you mean, ""quiet""?","what do you mean, quiet?","what do you mean , quiet?",1.0,1.0,1.0,1.0,0.764,0.503,0.2,1.0,1.0,1.0,1.0,0.764,0.503,0.6,0.0001,0.0005,0.0005,0.0009
JULES: What just happened here was a fucking miracle.,what happened here is a miracle.,what happened here was a real miracle.,jules : what happened there?,0.769,0.364,0.769,0.769,0.792,0.0,0.333,0.4,0.25,0.4,0.4,0.272,0.0,1.0,0.0021,0.0003,0.0003,0.0002
"""Natchez can be... bloody.""","""Natchez ever... There's blood.""","""Natchez can be... spicy.""",""" bloody jokes ,"" hold ...",0.222,0.0,0.222,0.222,0.501,0.0,0.75,0.0,0.0,0.0,0.0,0.17,0.0,1.5,0.0001,0.0001,0.0002,0.0018
"And you, dickheads.","you too, oxen.",and so do you.,and you 're from high.,0.286,0.0,0.286,0.286,0.2,0.0,1.333,0.25,0.0,0.25,0.25,0.196,0.0,1.333,0.011,0.0025,0.0039,0.0872
This sex tape. This night.,"this is our video, this evening...",it's the tape from last night.,this guy eats to the night.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.167,0.0,0.167,0.167,0.063,0.0,0.833,0.0139,0.0005,0.0003,0.0231
"When this is over, so are you, you little prick!","when this is over, you will end up, too!","when this is over, so do you!","when this is over , you little guy!",0.625,0.429,0.625,0.625,0.542,0.348,0.556,0.625,0.571,0.625,0.625,0.542,0.437,0.667,0.0001,0.0007,0.0004,0.0177
"""I don't want to seem ungrateful and I hate even the idea of cheap heroics, but--well, I'm just a damned great millstone round your necks and--""","'i don't want to look ungrateful and cheap heroics, but - well, I'm just a nuisance to you, like a stone by the neck and - '","""I don't want to look ungrateful, and I don't like the idea",""" i do n't want to be ungrateful , and i hate a bad idea , but i 'm just a bad idea.",0.55,0.368,0.55,0.55,0.272,0.098,0.741,0.511,0.267,0.468,0.468,0.375,0.0,0.926,0.0038,0.1813,0.0001,0.0116
"Every time you hit him with a shot, it's gotta feel like he tried kissin' the express train.","if you hit him, he must feel like he's met with a speedster.","every time you deal with him, it must feel like he tried to kiss the","every time you hit him with the ship , he 'll end up like the train robots down the train.",0.483,0.222,0.414,0.414,0.469,0.0,0.769,0.364,0.129,0.303,0.303,0.383,0.0,1.231,0.0142,0.0015,0.0029,0.1151
Ain't that some shit our grandfathers played for?,were our grandfathers playing this?,isn't that what our grandfathers played for?,it 's not a bad thing to played for our played?,0.308,0.182,0.308,0.308,0.595,0.0,1.0,0.125,0.0,0.125,0.125,0.227,0.0,2.2,0.0003,0.0003,0.0002,0.0031
Stop fucking around.,stop talking.,just stop.,stop talking.,0.5,0.0,0.5,0.5,0.333,0.0,1.0,1.0,1.0,1.0,1.0,0.981,0.0,0.0,0.0003,0.0032,0.0027,0.0032
"He told them it was all part of a plan to rob and kill the passengers, and that they would share in the loot.",he told them it was part of a plan that they robbed and told the passengers they would receive a share of the prey.,"he told them it was part of a plan to rob and kill the passengers, and they","he told them it was all part of a plan to use and annoyed , and they would have taken it in a few hours.",0.634,0.462,0.634,0.634,0.436,0.345,0.542,0.542,0.348,0.542,0.542,0.382,0.262,0.583,0.0083,0.0168,0.0142,0.0104
An evil old man.,an old man.,it's an old man.,it was an old man.,0.75,0.667,0.75,0.75,0.945,0.669,0.333,0.75,0.667,0.75,0.75,0.945,0.508,0.667,0.5541,0.0298,0.0339,0.0143
"Terminate him.""",stop him.,"""that's enough.""","green is lying. """,0.0,0.0,0.0,0.0,0.152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8864,0.0074,0.0398,0.1808
I thought only American politicians went in for that nonsense.,I thought only American politicians went to such nonsenters.,I thought only American politicians went for it.,i thought he would have done to this mess.,0.706,0.667,0.706,0.706,0.699,0.546,0.333,0.333,0.125,0.333,0.333,0.316,0.0,0.667,0.0002,0.0307,0.0002,0.0011
I feel like crap.,I feel terrible.,I feel bad.,i feel bad.,0.667,0.5,0.667,0.667,0.639,0.0,0.333,0.667,0.5,0.667,0.667,0.639,0.0,0.333,0.0002,0.0001,0.0002,0.0006
"Hey, fuckers What's going on?",what's going on here?,what's going on here?,what 's going on?,1.0,1.0,1.0,1.0,0.998,1.0,0.0,0.889,0.857,0.889,0.889,0.82,0.0,1.0,0.0002,0.0004,0.0004,0.0058
Journalists seem especially ignorant.,journalists appear particularly uninformed.,the reporters here seem especially unaware.,especially looks bad.,0.0,0.0,0.0,0.0,0.192,0.0,1.5,0.0,0.0,0.0,0.0,0.204,0.0,1.0,0.0002,0.0001,0.0002,0.0006
"Damn, it's too small.",it's too small.,it's too small.,it 's too small.,1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,0.0,0.667,0.0001,0.0002,0.0002,0.0083
"Fool, first you left this watch in my stomach.","Fo ol, first of all to watch in my stomach.",first you left this watch and now this...,first of you left this for my son.,0.222,0.0,0.222,0.222,0.085,0.0,0.8,0.333,0.125,0.333,0.333,0.27,0.0,0.7,0.0001,0.0001,0.0019,0.0026
"All right, I'm gonna get up, when I'm gone you sit in this seat... ...under you ass is a key to a locker where your half million is... ...along with some product we're returning.","once I'm gone, you'll sit in my seat...... and you'll sit in my seat...... and you'll have the key to the locker...... where it's your half million, together with some of the goods we're returning.","okay, I'll just get up, you'll sit in this seat, and you",i 'll get up when i came back when you came through this ... you 're in the bathroom.,0.327,0.189,0.327,0.327,0.206,0.012,0.886,0.237,0.0,0.169,0.169,0.132,0.0,0.971,0.0062,0.0232,0.0011,0.0446
"So, that means Kuroi's going to die.",but then does it mean that Misa will die?,"so, that means Kuroi's dead.",so that means an irishman.,0.133,0.0,0.133,0.133,0.153,0.0,0.889,0.143,0.0,0.143,0.143,0.156,0.0,0.889,0.0002,0.0117,0.0013,0.0011
I gotta get a suck off the hose.,I have to grab the hose.,I have to get off the hose.,i have to get out of the magic.,0.769,0.545,0.769,0.769,0.829,0.0,0.333,0.571,0.333,0.571,0.571,0.619,0.0,0.667,0.0008,0.0001,0.0001,0.0026
Just tell me you're not a rat. Oh God.,tell him you're not a snitch.,tell me you're not a rat.,just tell me you 're not a bad god.,0.714,0.5,0.714,0.714,0.865,0.0,0.333,0.625,0.429,0.625,0.625,0.686,0.0,1.0,0.0001,0.0015,0.0004,0.0373
I'm fucking sick of losing!,I'm sick of losing.,I'm tired of losing.,i 'm tired of his beer.,0.8,0.5,0.8,0.8,0.807,0.0,0.25,0.545,0.222,0.545,0.545,0.517,0.0,1.25,0.0001,0.0001,0.0001,0.0019
Its a bloody Ferrari not cheese!!,this is Ferrari and not cheese!,it's a Ferrari not cheese!,"you have a ferrari , not cheese!",0.5,0.2,0.5,0.5,0.536,0.0,0.5,0.5,0.2,0.5,0.5,0.528,0.0,0.667,0.0002,0.0004,0.0004,0.0002
What's this racket? Old nag!,what's all this noise?,what's going on?,what 's this simple - old?,0.444,0.286,0.444,0.444,0.433,0.0,0.75,0.6,0.25,0.6,0.6,0.517,0.0,1.25,0.9997,0.0007,0.0002,0.0154
"One of the jerks I criticize, who hires guys like him, is my mom.","one of those I'm criticizing, dousing people like him, is my mother.","one of the guys I hate who hire like him, is my mom.","one of the roof who we guys like him , mom.",0.538,0.333,0.538,0.538,0.541,0.293,0.583,0.348,0.19,0.348,0.348,0.361,0.0,0.75,0.0004,0.1365,0.0006,0.0047
Your daughter is smashed.”,"your daughter is tired. ""","your daughter is dead. ""","your daughter 's a ride. """,0.75,0.667,0.75,0.75,0.75,0.0,0.2,0.444,0.286,0.444,0.444,0.501,0.0,0.6,0.849,0.1672,0.0718,0.1687
Get the frickin' pants off.,take your bad pants off.,then get your pants down.,get the pants are!,0.4,0.0,0.4,0.4,0.526,0.0,0.8,0.222,0.0,0.222,0.222,0.169,0.0,0.8,0.0027,0.3242,0.2602,0.0042
"And when it comes back to me, and believe me, it fucking does, that madness... I mean, when I hear the roar of the stadium on match day, the lads calling me to get pissed out of me fucking tree... When I think of that, I think about getting back into it...","and when the madness comes back, and you believe it comes back when I hear the roar of the stands and the call of the pub, I get an appetite to go back and Shannon and Ben remind me that there are more important things in life.","and when I think of it, and believe me, what I mean when I hear the","and when he comes back to me , and he does n't mean me when i mean , i hear , when i hear what i said , she 's gon na",0.381,0.131,0.254,0.254,0.15,0.035,0.851,0.289,0.108,0.237,0.237,0.188,0.0,0.894,0.0001,0.0002,0.0015,0.2718
Never would've expected him to be so weak-minded.,I would never expect him to be so weak.,you never would have expected him to be so blunt.,i 'd never asked him to a - partner.,0.632,0.353,0.526,0.526,0.743,0.27,0.556,0.471,0.133,0.471,0.471,0.562,0.0,0.556,0.0002,0.0001,0.0001,0.0086
Jessie St. James totally Jessie St. Sucks.,Jesse St. James is Jesse St. John.,Jessie St. James totally Jessie St.,mrs. anderson do n't really feel fun.,0.462,0.182,0.462,0.462,0.19,0.0,0.571,0.0,0.0,0.0,0.0,0.062,0.0,1.0,0.0004,0.0036,0.0058,0.0009
"Now get it back, before they figure the damn thing out!",now get it back before it all comes down to it.,now get him back before they figure it out!,"now get it back , before they figure out the way.",0.5,0.222,0.5,0.5,0.378,0.0,0.636,0.476,0.421,0.476,0.476,0.355,0.235,0.636,0.0002,0.0005,0.0005,0.0063
"I'm tired of this ""Robin Hood"" and ""Pied Piper"" bullshit.","I'm tired of talking about ""Robin Hood"" and ""The Criticizes.""","I'm tired of ""Robin Hood"" and ""Pied Piper.""","i 'm tired of this"" mike"" donnie ,"" ok? """,0.7,0.556,0.7,0.7,0.754,0.452,0.4,0.421,0.353,0.421,0.421,0.402,0.0,0.9,0.0002,0.0002,0.0003,0.0943
"""It's not reading Shakespeare that makes you a sissy, Maiden.","""it's not the reading of Shakespeare that makes you soft.","""it's not reading Shakespeare that makes you a sissy, Maiden.""",""" it 's not reading an orphanage you made a cigarette.",0.727,0.5,0.727,0.727,0.733,0.274,0.5,0.476,0.211,0.476,0.476,0.544,0.0,1.0,0.3368,0.0451,0.6716,0.0393
Holy shit.,Jesus Christ.,holy Girl!,"oh , my god.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.156,0.0,2.0,0.0001,0.0008,0.0001,0.0003
"You screwed me! I had a beautiful, caring, funny, intelligent woman, - and you made her disappear!","I had a beautiful, sensitive, funny, intelligent woman, and you took her away from me.","I had a beautiful, caring, intelligent woman, and you made her disappear!","i had a beautiful beautiful , i had a beautiful beautiful thing , and you had it a pretty woman , and you 've been gone away with her",0.667,0.48,0.667,0.667,0.601,0.422,0.4,0.439,0.256,0.39,0.39,0.453,0.185,1.533,0.0001,0.0001,0.0001,0.0239
Leave that shit to God and look after business.,leave it to God and take care of business.,leave it to God and look for the business.,leave it to god and look for god 's sake.,0.667,0.5,0.667,0.667,0.692,0.452,0.333,0.526,0.471,0.526,0.526,0.506,0.367,0.556,0.0057,0.7398,0.0812,0.621
I'm a dumb sister I didn't recognize my own brother,I didn't even recognize my own brother.,I didn't recognize my own brother.,i 'm a sister i did n't recognize my brother.,0.933,0.769,0.933,0.933,0.892,0.613,0.143,0.526,0.118,0.526,0.526,0.731,0.0,1.0,0.0001,0.0002,0.0002,0.0034
Of course he was black.,of course he was.,of course he was black.,of course he was black.,0.889,0.857,0.889,0.889,0.949,0.537,0.5,0.889,0.857,0.889,0.889,0.949,0.537,0.5,0.0658,0.0026,0.0143,0.0143
Ever stepped on a piece of dog crap?,did you ever step into a dog poop?,did you ever step on a piece of paper?,did you ever go to the dog?,0.588,0.4,0.588,0.588,0.618,0.291,0.5,0.533,0.308,0.533,0.533,0.501,0.0,0.625,0.0044,0.0015,0.0004,0.0006
It might be sheltering silently in some dross pile.,she could be quietly hidden in a pile of drones.,he may be hiding in some patter.,it might be proud of some bunch of playing.,0.235,0.0,0.235,0.235,0.14,0.0,0.8,0.211,0.0,0.211,0.211,0.138,0.0,0.8,0.0003,0.0014,0.0015,0.0002
It's just a bunch of calories. It sucks.,it's a bunch of calories.,it's just a number of calories.,it 's just a bunch of bunch.,0.769,0.364,0.769,0.769,0.792,0.0,0.4,0.769,0.545,0.769,0.769,0.601,0.0,0.8,0.0001,0.0017,0.0004,0.0241
Don't let this mother-killer get away unscathed.,don't let the matchmaker escape.,don't let this svini escape unharmed.,do n't let this mother go to the lights.,0.615,0.364,0.615,0.615,0.628,0.0,0.8,0.375,0.143,0.375,0.375,0.611,0.0,1.6,0.4062,0.001,0.9885,0.2335
"You're a jammy bugger, Dad!","you're so lucky, Dad!","you're a great jammer, Dad!","you 're a bunch of boy , dad!",0.545,0.222,0.545,0.545,0.682,0.0,0.75,0.5,0.2,0.5,0.5,0.672,0.0,1.75,0.0001,0.0001,0.0001,0.0387
"You come home early, you masturbate, but you do it in your sister's bedroom, just to give it a little extra thrill, you know what I mean?","you come home soon, you hunt, but you do it in your sister's room to give it extra excitement, you know...?","come home early, you masturbate, but you do it in your sister's bedroom","you come home , you 're able to fly around , but you do it in your sister 's gone.",0.611,0.471,0.611,0.611,0.419,0.236,0.524,0.65,0.474,0.6,0.6,0.456,0.273,0.762,0.1003,0.022,0.9628,0.0449
I've got frozen peas in my crotch.,I have a frozen pea on my lap.,I have frozen peas in my pocket.,i got to get in my card.,0.533,0.154,0.533,0.533,0.574,0.0,0.5,0.267,0.0,0.267,0.267,0.225,0.0,0.75,0.0024,0.0001,0.0002,0.0002
"I take you to see the warehouse, but if you screw me-","I'll take you to the warehouse, but if you cheat on me.","I'll take you to the warehouse, but if you screw with me...","i take you to the roof of the roof , but they 'll get them on the roof.",0.846,0.75,0.846,0.846,0.865,0.626,0.25,0.533,0.214,0.467,0.467,0.413,0.162,1.0,0.0003,0.0001,0.0001,0.008
"Leave me the gun, get the fuck out of here.","give me the gun, and get out of here.",leave me the gun and get out of here.,"leave me the gun , get out of here.",0.889,0.875,0.889,0.889,0.821,0.595,0.222,0.824,0.667,0.824,0.824,0.821,0.595,0.333,0.0132,0.9481,0.9877,0.9977
Stay the hell away from that old man.,stay away from the old man.,stay away from the old man.,stay away from the old man.,1.0,1.0,1.0,1.0,0.999,1.0,0.0,1.0,1.0,1.0,1.0,0.999,1.0,0.0,0.5557,0.0565,0.0565,0.0565
"In order for tadalafil to be effective, sexual stimulation is required.",sexual stimulation is required to achieve the effect of tadalafil.,"to be effective, Tadalafil needs sexual stimulation.","in order for huge underwear , an orphanage.",0.471,0.133,0.235,0.235,0.395,0.0,1.0,0.0,0.0,0.0,0.0,0.046,0.0,1.0,0.0032,0.0004,0.0024,0.0129
Chenaya lifted her chin and hurled the same cold glare back at the foreign bitch.,Chenaya lifted her chin and gave the alien the same chilling look.,Chenaya lifted her chin and threw her same cold stare at the foreigner.,from the sun was evident in the same canadian duo is evident in the same.,0.56,0.348,0.48,0.48,0.525,0.299,0.667,0.222,0.08,0.222,0.222,0.237,0.0,1.167,0.9979,0.5822,0.2024,0.0008
I only want to know when was the last time you had sex?,when was the last time you slept with someone?,I only want to know when the last time you had sex?,i only want to know when was the last time you had such a lot of life?,0.476,0.316,0.476,0.476,0.546,0.214,1.0,0.462,0.417,0.462,0.462,0.641,0.275,1.222,0.0027,0.0004,0.004,0.0003
Get me the fuck out of here.,help me out of here.,get me out of here.,get out of here.,0.8,0.75,0.8,0.8,0.83,0.76,0.2,0.667,0.571,0.667,0.667,0.673,0.548,0.4,0.0002,0.0013,0.0591,0.9348
"With your handkerchief under your arse, you can't wipe off your sweat!","you sat on your handkerchief, Aziz, and now you don't have a sweat!","with your handkerchief under your arches, you can't get away with your sweat","you ca n't avoid your information , you ca n't raise your jeans.",0.357,0.077,0.357,0.357,0.285,0.0,1.0,0.286,0.0,0.286,0.286,0.15,0.0,0.923,0.0001,0.0202,0.0005,0.202
Any further foolish attempts will bring a similar result.,any further imprudent actions will result in the same effect.,any further attempts will bring a different result.,it 's more ; hard ; he 's gon na bring a reporter.,0.444,0.125,0.444,0.444,0.344,0.0,0.7,0.0,0.0,0.0,0.0,0.044,0.0,1.3,0.0001,0.0004,0.0002,0.0191
There won't be a next time. Now fuck off.,there will be no next time.,there won't be a next time.,there 's no next time next time.,0.615,0.182,0.615,0.615,0.628,0.0,0.333,0.615,0.364,0.615,0.615,0.628,0.0,0.667,0.0002,0.0002,0.0002,0.006
"I hear myself mooning over you, and it's disgusting.","I hear myself drowning, that's disgusting.","I hear myself mooning over you, and it's incredible.","i hear myself came over you , and it 's terrible.",0.471,0.267,0.471,0.471,0.55,0.0,1.0,0.471,0.267,0.471,0.471,0.55,0.0,1.333,0.0045,0.0001,0.0014,0.0559
